Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn Value,CLTV,Gender_Male,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_Fiber optic,Internet Service_No,Online Security_No internet service,Online Security_Yes,Online Backup_No internet service,Online Backup_Yes,Device Protection_No internet service,Device Protection_Yes,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_One year,Contract_Two year,Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Avg_Monthly_Spend,Tenure_Bucket,Num_Services_Subscribed,Charges_Per_Tenure
0,0,0,-0.62591876415828,1,1,-0.0020504069191315333,-0.5235227853738373,1,-1.1651116021087713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,-0.013156162487586068,1,2,-0.24951230139901656
0,0,1,-1.1145631287986442,1,1,0.16412929309748078,-0.8659689668020626,1,-1.6452577447382462,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.04355077661242093,0,0,0.6702757418890911
0,0,1,0.06632741908223598,1,1,1.3822264942192488,0.5600886401800608,1,-1.2335831470964254,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1.3113124686778899,2,4,-0.3132459327325139
0,0,1,-0.8702409464784621,1,1,1.099721004191008,-0.5180962354748845,1,1.0766975004499737,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1.18250548603976,0,3,0.27328273774829254
0,0,1,-1.2367242199587352,1,1,0.5280628361338618,-0.9421833159926397,1,1.002308661451041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.24371136449131697,0,1,2.420675702384742
0,0,1,-0.7073594915983407,1,1,1.141265929195161,-0.37647651859977455,1,-1.2124499541990013,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1.0041824073864138,1,4,0.04851112710058406
1,1,1,-0.9924020376385531,1,1,0.5280628361338618,-0.7263786913525774,1,0.7622355901363036,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4778655249367153,0,1,0.36580296855687827
1,0,1,-0.5851984004382496,1,1,1.0199547481830342,-0.2325847096938023,1,-1.032395150712948,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.0791961682126212,1,2,-0.08564278851112218
0,0,1,-0.9516816739185228,1,0,0.9850570111795457,-0.6275757767289609,1,0.9896287457125866,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.0093583018207155,0,2,0.4207099833293401
0,0,1,-1.2774445836787656,1,1,0.48485611412954227,-0.9707719691188302,1,-1.6207432409772342,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.48406007944585283,0,1,3.8873044902454534
0,1,1,-1.0331224013585834,1,1,0.34526516611558833,-0.7865560414515337,1,-0.7973940456935925,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20772395258108917,0,1,0.41540718868919224
0,0,1,-0.8295205827584317,1,1,0.47156173812821356,-0.5966488541341161,1,1.1882807589483728,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4156446663116008,0,1,0.03467535314344165
0,0,0,-1.1145631287986442,1,0,-1.4527991880641573,-0.9555511584266455,1,-1.5184585873537018,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1.3852086892314879,0,0,-0.25938537250079335
1,1,1,-0.30015585439803716,1,1,1.1213243651931677,0.10357461514417286,1,0.7918220601926973,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1.1854488380004649,2,4,-0.2272672677503483
0,1,0,1.4508197855632678,1,1,1.503537675231376,2.352438365341499,1,0.5356877622759176,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1.5607222378752035,3,5,-0.47885003434098994
0,1,1,0.9214550572028734,1,1,1.0631614701873533,1.3055333586162896,1,0.6371270881835531,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.0094484044317573,3,3,-0.4635463784982489
1,1,1,0.18848851024232702,1,1,0.39013368512007346,0.25959895431203156,1,-1.3586916490491758,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4235208656484441,2,0,-0.43081474118987845
0,1,1,-0.9109613101984924,1,1,1.1794872601989819,-0.536074439408407,1,1.3505836804005897,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.3798752555272615,0,3,0.38329075432072907
0,0,1,-1.1960038562387048,1,1,0.32033821111309646,-0.9045062947429998,1,0.012429906135697747,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3904534779744414,0,0,1.4709499596267306
1,0,1,-0.21871512695797646,1,1,0.44164939212522314,-0.06363371101055196,1,0.20093798678072042,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.475555950292568,2,1,-0.34203253220760216
0,1,0,-0.30015585439803716,0,1,-0.2047896409393986,-0.34283632105545325,1,-0.17776882994111887,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,-0.15171595774797417,2,5,-0.40321862420930815
0,0,0,-1.2774445836787656,0,1,-0.9742016520163136,-0.990139899245987,1,-1.7745928852704813,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.966291616293547,0,1,1.3706268177860956
0,0,0,-1.2367242199587352,1,0,-0.6784017859867437,-0.9699337215734635,1,-1.5471997296941984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7953219118413513,0,0,1.0333499695028177
1,1,1,-1.2774445836787656,1,1,0.18905624809997262,-0.9746984970944953,1,-0.3688128937338324,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19002522541212508,0,0,3.377089654598796
0,0,0,-0.9924020376385531,1,0,0.21232140610229844,-0.7571070816340459,1,-1.4694295798316779,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.19023171056242946,0,3,0.24477822601896929
0,0,0,-1.2774445836787656,1,1,-0.6351950639824246,-0.9856398334761236,1,-1.5218398982172896,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6293078509964656,0,0,1.9553674159429395
0,0,1,-1.0331224013585834,1,0,1.0049985751815391,-0.7165844305593455,1,-1.3646089430604544,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.9562621203138222,0,2,0.6998949551944215
0,1,1,-0.5037576729981889,1,0,0.5862257311396761,-0.30326221325577307,1,1.114737247665337,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.49289764387888896,1,1,-0.21174894188530813
0,0,1,-1.1552834925186746,1,1,0.20401242110146783,-0.8853368969292195,1,-0.09577204149911347,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1173424525049113,0,0,0.9641747745574658
1,1,0,1.0436161483629645,0,1,-0.6468276429835875,0.16388432011871337,1,0.8822721257936723,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.6273142012693869,3,3,-0.5736016632407193
0,1,1,-1.2367242199587352,1,1,1.3174164112127704,-0.8986606210713638,1,0.2448950280073625,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1.8732921706950962,0,4,3.3283612714190594
0,1,0,0.8400143297628127,1,1,1.0000131841810405,1.200222995943116,1,-0.061113605147338004,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0.9794062671878543,3,3,-0.460243980291779
1,0,1,-0.7073594915983407,1,1,0.32200000811326246,-0.5003165638547383,1,1.113046592233543,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3859383360211149,1,0,-0.12812926192596252
1,0,1,-1.0331224013585834,1,0,0.3884718881199074,-0.7836001158968197,1,0.015811216999285598,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23934567845630592,0,1,0.4340386293167387
0,0,0,-1.2774445836787656,0,0,-1.156999322034587,-0.9925664052983643,1,0.11302390432743631,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1479985485615811,0,1,1.0553255148583853
0,0,1,-0.9924020376385531,1,0,0.6560212051466532,-0.713429972691255,1,-1.9005467149391289,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5990723081655064,0,1,0.4148498379011887
0,0,1,-0.7888002190384014,1,1,0.4815325201292102,-0.5153388422335466,1,0.6269831555927896,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.6876226706999725,1,2,-0.012604092979884381
0,1,0,-1.2774445836787656,0,1,-1.328164413051698,-0.9948384973292265,1,0.38099279026677346,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.3181423124125589,0,0,0.7600888402988024
0,1,1,-1.0738427650786138,1,1,0.8720548151682491,-0.7715117039267947,1,-1.7898087841566268,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0.7863543394917644,0,3,0.8288818518466664
0,0,1,-1.2774445836787656,1,0,0.50313588113137,-0.9705293185135924,1,-0.8506496917951012,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5022307726726566,0,1,3.918834620538225
0,0,1,-0.5444780367182193,1,1,1.3905354792200795,-0.15233353679790662,1,-0.537878436913225,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1.2261894449195085,1,5,-0.05052214577352845
0,0,0,-1.2367242199587352,1,1,-0.6235624849812617,-0.9684998770879678,1,-1.465202941252193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.7416357727621593,0,0,1.0964102300883598
0,0,1,-1.1552834925186746,1,1,0.179085466098976,-0.8873883975007748,1,-1.8371471362468565,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0789362145482588,0,0,0.9469765216704997
0,1,0,-1.1552834925186746,1,0,-0.4889569279678058,-0.9266536772574252,1,-0.8506496917951012,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.6561509205360615,0,1,0.48606334429981074
0,1,0,-1.2774445836787656,1,0,-0.31779183695069496,-0.9814265366033595,1,-0.6443897291162423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.3137985413310606,0,1,2.5028451328446906
0,0,1,-1.2774445836787656,1,1,0.6593447991469852,-0.9684557587961065,1,-1.6198979132613371,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6575076057017036,0,2,4.1882739157673585
0,0,0,-1.2367242199587352,1,1,-0.34438058895335305,-0.955440862696992,1,-1.5590343177167558,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.25267893684090387,0,1,1.4174442839783918
1,0,1,-0.8702409464784621,1,1,1.0049985751815391,-0.5115226099875352,1,1.3353677815144445,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1.227256449523953,0,3,0.24605217067726307
1,0,0,-0.7073594915983407,1,1,0.32033821111309646,-0.5318170242437815,1,0.18234077703098725,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.22867924554914282,1,1,-0.12848755886110763
0,0,0,-1.2774445836787656,1,1,-0.5388108379727895,-0.9843604030121428,1,1.0876867607566343,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5334987412551385,0,1,2.1216171938502772
0,1,0,-1.2367242199587352,1,0,0.1873944510998066,-0.9408597672367975,1,1.0876867607566343,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2932678005644172,0,0,2.0289377199594054
1,1,0,-1.2774445836787656,0,0,-0.8163309370005319,-0.9880442803825703,1,1.206877968698106,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.8093629020620629,0,2,1.6429324884963907
0,1,0,-1.2367242199587352,1,1,-0.6700928009859131,-0.9702425496164933,1,0.40888860489137324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.806885080258408,0,0,1.042904554440021
1,0,0,-1.1960038562387048,0,1,-0.7847567939973756,-0.9474554518700777,1,-1.763603624963821,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.6816174224069603,0,2,0.5178801121406978
1,0,0,-0.7888002190384014,1,1,1.4005062612210766,-0.40387397784570706,1,-1.6114446361023675,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1.3296961873086275,1,4,0.2138395700318347
0,0,0,1.0843365120829946,1,0,-1.5093002860698053,-0.520655096402846,1,0.5779541480707658,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,-1.5217436701094993,3,0,-0.6246571546500769
1,0,0,-0.6666391278783103,1,1,0.9867188081797118,-0.33906420710130314,1,-0.4989933619819647,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0.9829282025817287,1,3,-0.024623600249626735
0,0,0,-1.2774445836787656,0,0,-1.328164413051698,-0.9948384973292265,1,0.5804901312184567,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3181423124125589,0,0,0.7600888402988024
0,0,0,-1.2774445836787656,1,0,0.19404163910047073,-0.9746323196567032,1,-0.897988043885331,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.19498086901943482,0,0,3.3856887810422784
0,1,0,-1.1145631287986442,1,1,0.6859335511496436,-0.8288213650547598,1,-0.6122672759121577,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5128028123682511,0,2,0.9702897089172758
0,1,0,0.7992939660427822,1,1,1.3390197722149297,1.4758079060553824,1,0.37084885767600995,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1.4362107579195926,3,4,-0.4343784970016099
0,1,0,-0.5851984004382496,1,0,1.0099839661820376,-0.2204962977237773,1,0.20516462536020524,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1.1294867737090273,1,3,-0.08745313092027643
0,1,0,-1.2774445836787656,1,0,0.17410007509847744,-0.9748970294078716,1,-0.25892029066722727,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1751582945901949,0,0,3.3512922752683467
1,0,0,-0.9924020376385531,1,1,0.3236618051134285,-0.7381803344255032,1,-0.04674303397708964,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3673959695237627,0,1,0.28745537207181093
0,0,0,-0.9109613101984924,1,1,-0.6617838159850825,-0.8136887909462978,1,-0.28681610529182705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6990172377392931,0,0,-0.19415361533861422
1,0,0,-0.3408762181180675,1,1,0.37683930911874425,-0.25016584900057215,1,-2.013820628869322,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.22017205735659418,1,0,-0.31262351977089037
0,0,0,-1.2774445836787656,1,1,0.2937494591104381,-0.973308770900861,1,-1.5514263682736833,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29409374116563525,0,1,3.5576713099119384
1,0,0,-1.1552834925186746,1,1,1.0199547481830342,-0.83102727964783,1,-0.6114219481962607,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.1340753326046846,0,2,1.527130919057486
1,1,0,-0.015113308357824713,1,1,0.33695618111475767,0.010418841878816238,1,-0.2496216857923607,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.24056246594917188,2,0,-0.40140124861286103
0,0,0,-1.1145631287986442,1,1,0.5264010391336954,-0.8224462718807867,1,1.1113559368017492,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6082815458690909,0,1,0.8785656935201236
0,1,0,0.22920887396235737,1,0,0.5164302571326987,0.343644300308008,1,-1.9690182599267827,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0.5217490531961847,2,5,-0.42556165360092213
1,1,0,-0.3408762181180675,1,1,0.9435120861753926,-0.021478683136979433,1,-1.849827051985311,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0.933715908425803,1,3,-0.2344287966448182
1,0,0,0.880734693482843,1,0,0.5878875281398422,0.9134099805521226,1,-0.21242726629289432,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0.523949951445435,3,5,-0.48975510132307226
1,0,0,-1.2367242199587352,1,1,0.1857326540996401,-0.9444333488775714,1,-1.4618216303886051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15946542316704668,0,0,2.0270268029719642
0,0,0,-1.0331224013585834,1,1,0.3020584441112687,-0.7802250665694221,1,-1.6291965181362038,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2754510818809932,0,0,0.39677574806164556
0,0,0,-1.2367242199587352,1,0,0.5264010391336954,-0.937043534990786,1,-1.4516776977978416,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.43615552457518963,0,1,2.418764785397301
0,1,0,1.4508197855632678,1,1,0.36686852711774764,1.329820478285993,1,0.42494983149341553,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0.4345765204846247,3,4,-0.5356790438805298
0,0,0,0.43281069256250915,1,1,1.3240635992134344,1.0941846814542295,1,0.7182785489096616,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1.5195975141640623,2,4,-0.38906714805756226
0,1,0,1.247217966963116,1,1,1.284180471209448,1.907350977897715,1,-0.0408257399658109,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1.3251822555246797,3,4,-0.4763938828870241
0,0,0,-1.2367242199587352,1,1,0.8521132511662559,-0.931572866799972,1,-0.20566464456571862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.6409887936773369,0,2,2.7933045149356723
0,1,0,-1.1552834925186746,1,1,0.6659919871476498,-0.84170390627829,1,0.4553816292657062,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9341977071098466,0,2,1.282915728062569
1,0,0,-0.46303730927815856,0,1,-0.7598298389948839,-0.6351420637831919,1,0.3192838670062952,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.81581310485253,1,2,-0.4432677026104248
0,0,0,-0.9109613101984924,1,1,0.5147684601325326,-0.632539084563369,1,-0.6782028377521208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6575076057017036,0,1,0.1748270829635655
1,1,0,-0.21871512695797646,0,0,-1.1304105700319294,-0.6505834659346836,1,-1.2454177351189828,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.1523423843161371,2,1,-0.5357176182917669
0,0,0,-1.1145631287986442,1,0,1.0548524851865226,-0.7884751871475049,1,0.8307071351239577,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1.1170609562195868,0,3,1.1824014945231895
0,0,0,-1.2367242199587352,1,1,0.6942425361504742,-0.9257051339824051,1,-0.4415110773009712,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.8606889936014147,0,1,2.611767401128809
0,1,0,-0.30015585439803716,1,1,1.3356961782145975,0.12651612691210345,1,-0.6410084182526544,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1.2541670960218305,2,4,-0.19882400336036601
0,0,0,-1.2774445836787656,1,0,-0.4690153639658123,-0.9834339188830533,1,-1.6647002822038761,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4641197307527981,0,1,2.2420049640590394
0,0,0,-1.2774445836787656,1,1,0.8670694241677506,-0.9656983655547686,1,-0.8252898603181923,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.8639927560062879,0,2,4.546570850912484
1,1,0,-0.8702409464784621,1,0,-1.4893587220678117,-0.9110358019384879,1,1.2575976316519237,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1.4924908647788295,0,0,-0.4710194288598472
1,1,0,0.9214550572028734,1,1,0.6875953481498096,1.1448545396570529,1,0.9313011333156962,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.7906792648217802,3,2,-0.4866821234533341
0,0,0,0.06632741908223598,1,1,0.30538203811160125,0.10796438518438257,1,1.1789821540735062,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3155196120560641,2,1,-0.4193837219777897
0,1,0,1.4915401492832983,1,1,1.1528985081963241,2.0858535867689594,1,-0.3214745416436025,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1.2178065573223988,3,3,-0.49874137458478995
0,0,0,-1.2774445836787656,1,1,-1.491020519067978,-0.9970002936304354,1,-0.8869987835786706,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1.480026670251353,0,0,0.47918404314502433
0,0,0,-1.2774445836787656,1,1,-1.5009913010689746,-0.9971326485060197,1,-0.8050019951366651,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1.4899379574659728,0,0,0.46198579025805847
1,0,0,-1.1960038562387048,1,1,0.5513279941361872,-0.9026753856307516,1,-1.3375584561517517,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.43615552457518914,0,1,1.6701630555674198
0,1,0,-0.4223169455581282,1,0,0.6161380771426661,-0.1914002842411807,1,-0.5040653282773464,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6345314398859937,1,2,-0.24638282865146882
1,0,0,-1.2774445836787656,1,1,0.3502505571160864,-0.972558759939217,1,0.42410450377751857,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3502577020484823,0,1,3.6551280762714127
0,1,0,1.1657772395230555,1,1,-1.5076384890696393,-0.4840589733038106,1,-0.151563670748313,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,-1.4970058426108248,3,0,-0.6257574729799419
0,0,0,-0.8295205827584317,1,1,-0.6435040489832552,-0.7768500172420246,1,-1.2792308437548612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7088734622471653,0,0,-0.2612227926810248
0,0,0,1.125056875803025,1,1,1.3672703212177542,1.816224646057983,1,-0.2496216857923607,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1.384583116954206,3,4,-0.462584766583316
0,0,0,-1.2774445836787656,1,0,0.15914390209698223,-0.9750955617212478,1,-1.3595369767650727,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.16029136376826475,0,0,3.3254948959378976
0,1,0,-0.1779947632379461,1,1,0.5413572121351905,-0.02322135566550505,1,0.6768574908307105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.4903136297122203,2,1,-0.3411923876700205
0,1,0,-1.1552834925186746,1,0,1.2093996062019723,-0.8355273454176932,1,0.014120561567491672,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.0498293912804137,0,3,1.6578376409984277
